sample,receptor,insert_locus,donor,delete_start,delete_end,reverse_flag
SAMEA1906422,MGYG000003192_180,218,MGYG000002478_1,46224,4229658,True
SAMEA1906422,MGYG000004650_169,2657,MGYG000001433_1,820487,822170,True
SAMEA1906423,MGYG000000263_15,78405,MGYG000000282_28,4213,38983,True
SAMEA1906423,MGYG000000209_3,225424,MGYG000004586_312,378,2081,True
SAMEA1906423,MGYG000000209_24,24281,MGYG000004586_312,379,2081,False
SAMEA1906423,MGYG000003656_10,111295,MGYG000004392_12,1226,7929,False
SAMEA1906423,MGYG000001627_42,5474,MGYG000003214_294,1651,3286,True
SAMEA1906425,MGYG000002480_5,114842,MGYG000004523_149,1361,2651,True
SAMEA1906425,MGYG000000253_4,18035,MGYG000001901_60,181,1787,True
SAMEA1906425,MGYG000000200_9,48758,MGYG000004481_60,115,1815,True
SAMEA1906425,MGYG000001723_55,3982,MGYG000002152_57,11248,12337,False
SAMEA1906425,MGYG000001723_31,15788,MGYG000002152_57,11249,12337,True
SAMEA1906425,MGYG000004319_5,39094,MGYG000003832_46,449,1963,True
SAMEA1906425,MGYG000002480_18,2865,MGYG000004523_149,1361,2652,False
SAMEA1906426,MGYG000000262_19,72814,MGYG000000077_19,78686,79569,True
SAMEA1906426,MGYG000000003_5,68554,MGYG000003084_128,575,1931,True
SAMEA1906426,MGYG000002295_8,15391,MGYG000004471_4,47089,48348,False
SAMEA1906426,MGYG000000003_1,294701,MGYG000003084_128,574,1931,False
SAMEA1906426,MGYG000000262_22,24365,MGYG000000077_19,78686,79562,True
SAMEA1906426,MGYG000001313_18,585548,MGYG000003665_16,80492,81653,False
SAMEA1906426,MGYG000001546_5,433794,MGYG000004658_56,1465,13035,False
SAMEA1906426,MGYG000000253_1,102112,MGYG000001901_60,178,1786,True
SAMEA1906427,MGYG000000929_7,15307,MGYG000004449_82,673,1343,False
SAMEA1906427,MGYG000000667_17,34919,MGYG000001345_36,402766,425059,False
SAMEA1906427,MGYG000000929_19,3799,MGYG000001967_43,14012,15068,False
SAMEA1906427,MGYG000000251_17,21053,MGYG000004296_148,186,1673,True
SAMEA1906427,MGYG000000929_7,17249,MGYG000001967_43,14016,15068,False
SAMEA1906427,MGYG000000929_3,60163,MGYG000004449_82,674,1343,True
SAMEA1906427,MGYG000001659_22,20258,MGYG000001512_18,28922,30360,True
SAMEA1906427,MGYG000002478_1,944601,MGYG000000105_5,429788,437259,True
SAMEA1906429,MGYG000000929_7,15299,MGYG000004449_82,666,1334,False
SAMEA1906430,MGYG000004006_4,64789,MGYG000004658_56,1466,13029,True
SAMEA1906430,MGYG000000251_1,547769,MGYG000000202_5,310724,311544,False
SAMEA1906431,MGYG000002483_11,27920,MGYG000000773_2,80000,81799,False
SAMEA1906431,MGYG000000655_25,27482,MGYG000004375_169,930,2620,False
SAMEA1906431,MGYG000004463_82,6543,MGYG000001632_43,1060,2770,False
SAMEA1906431,MGYG000000242_26,28114,MGYG000000773_2,80001,81797,True
SAMEA1906431,MGYG000001711_6,6179,MGYG000003699_9,31895,33483,False
SAMEA1906432,MGYG000002528_1,688110,MGYG000000262_3,144294,147059,False
SAMEA1906434,MGYG000001711_97,26709,MGYG000000186_21,23629,30883,False
SAMEA1906434,MGYG000001711_151,256,MGYG000001901_60,179,1786,False
SAMEA1906434,MGYG000001746_10,5645,MGYG000003942_3,30964,74545,False
SAMEA1906434,MGYG000002454_1,119712,MGYG000001921_3,67933,72764,True
SAMEA1906434,MGYG000004006_4,64789,MGYG000004658_56,1466,13029,True
SAMEA1906435,MGYG000003686_2,177814,MGYG000001356_5,2662,39281,False
SAMEA1906436,MGYG000000045_12,32654,MGYG000000655_143,823,2584,True
SAMEA1906436,MGYG000003937_206,2443,MGYG000000140_6,128504,183631,False
SAMEA1906437,MGYG000002482_38,1531,MGYG000000258_2,94227,165388,False
SAMEA1906437,MGYG000001302.1_3,145577,MGYG000004658_122,47663,90310,False
SAMEA1906437,MGYG000001887_24,38180,MGYG000000139_3,460450,462827,True
SAMEA1906440,MGYG000000929_14,4317,MGYG000001967_43,14014,15068,False
SAMEA1906442,MGYG000000045_17,16201,MGYG000000655_143,823,2584,True
SAMEA1906443,MGYG000000251_5,32659,MGYG000000202_5,310724,311541,True
SAMEA1906443,MGYG000000262_1,132597,MGYG000001374_1,830279,858605,True
SAMEA1906447,MGYG000000651_112,3040,MGYG000001632_43,1061,2788,False
SAMEA1906448,MGYG000001455.1_35,3931,MGYG000002207_100,439,1786,True
SAMEA1906448,MGYG000000213_2,1125,MGYG000001374_1,830277,858606,True
SAMEA1906449,MGYG000000730_1,195088,MGYG000000574_749,765,2042,True
SAMEA1906450,MGYG000000209_3,225424,MGYG000004586_312,378,2082,True
SAMEA1906451,MGYG000000074_1,781929,MGYG000002549_17,70088,91830,False
SAMEA1906452,MGYG000001302.1_1,62526,MGYG000002082_6,49114,130256,False
SAMEA1906452,MGYG000002272_5,81504,MGYG000002410_12,508859,554084,True
SAMEA1906456,MGYG000004747_12,13698,MGYG000002256_42,20768,22254,True
SAMEA1906456,MGYG000001252_152,4598,MGYG000002271_4,38604,39880,True
SAMEA1906456,MGYG000003252_74,3925,MGYG000001364_16,154569,170393,False
SAMEA1906456,MGYG000001338_1,967954,MGYG000004481_60,115,1812,False
SAMEA1906457,MGYG000001374_4,186750,MGYG000003427_94,602,2332,True
SAMEA1906457,MGYG000000045_20,814,MGYG000000655_143,823,2584,True
SAMEA1906458,MGYG000000730_1,185795,MGYG000000574_749,759,2042,False
SAMEA1906458,MGYG000000730_21,9572,MGYG000000574_749,759,2042,False
SAMEA1906458,MGYG000000730_12,50603,MGYG000000574_749,759,2042,False
SAMEA1906458,MGYG000002720_26,23508,MGYG000001632_43,1050,2784,True
SAMEA1906458,MGYG000000730_24,12751,MGYG000000574_749,760,2042,False
SAMEA1906458,MGYG000000730_6,112064,MGYG000000574_749,757,2043,False
SAMEA1906458,MGYG000004379_31,4892,MGYG000001959_3,148321,149569,False
SAMEA1906458,MGYG000004245_9,41065,MGYG000000574_749,761,2043,False
SAMEA1906460,MGYG000001346_14,76819,MGYG000002549_6,820917,901730,False
SAMEA1906462,MGYG000003192_180,219,MGYG000002478_1,46226,4229658,True
SAMEA1906462,MGYG000000271_24,33000,MGYG000003892_37,27059,28817,False
SAMEA1906462,MGYG000000045_17,11272,MGYG000000655_143,822,2584,False
SAMEA1906463,MGYG000000038_9,43346,MGYG000004623_1,14583,61021,False
SAMEA1906465,MGYG000001239_27,8760,MGYG000002528_1,2295972,2297550,False
SAMEA1906465,MGYG000004245_2,162778,MGYG000000574_749,760,2042,True
SAMEA1906466,MGYG000003937_206,2447,MGYG000000140_6,128506,183631,False
SAMEA1906470,MGYG000001346_12,249254,MGYG000001920_67,8988,10166,True
SAMEA1906470,MGYG000000045_28,6247,MGYG000004045_97,1146,3175,False
SAMEA1906470,MGYG000002444_13,9821,MGYG000000655_143,822,2584,True
SAMEA1906470,MGYG000004375_202,773,MGYG000000655_12,30724,32330,False
SAMEA1906470,MGYG000004117_4,97512,MGYG000001825_320,110,1460,False
SAMEA1906470,MGYG000004045_97,1247,MGYG000000655_143,824,2584,True
SAMEA1906472,MGYG000004730_1466,554,MGYG000002171_23,4782,6078,False
SAMEA1906474,MGYG000004155_10,26593,MGYG000003669_108,3680,5133,False
SAMEA1906474,MGYG000002993_2,88860,MGYG000000370_3,99114,99824,False
SAMEA1906477,MGYG000003929_2,238368,MGYG000001797_2,72040,99273,False
SAMEA1906479,MGYG000003899_2,54226,MGYG000002410_12,508861,554086,True
SAMEA1906479,MGYG000003192_180,219,MGYG000002478_1,46220,4229658,True
SAMEA1906480,MGYG000001364_19,28450,MGYG000002171_23,4784,6091,True
SAMEA1906480,MGYG000001313_18,917872,MGYG000002171_23,4783,6088,False
SAMEA1906480,MGYG000004833_117,6880,MGYG000000251_12,71614,73637,False
SAMEA1906480,MGYG000003987_220,209,MGYG000004552_1,20974,29021,False
SAMEA1906480,MGYG000001236_5,56364,MGYG000002106_140,611,1954,True
SAMEA1906480,MGYG000000262_3,228759,MGYG000000077_19,78686,79569,True
SAMEA1906480,MGYG000000262_15,54309,MGYG000000077_19,78686,79569,True
SAMEA1906481,MGYG000000784_2,68084,MGYG000003832_3,39155,45021,False
SAMEA1906481,MGYG000002321_1,1181020,MGYG000001757_42,515,14592,True
SAMEA1906481,MGYG000000251_8,83997,MGYG000000202_5,310720,311541,False
SAMEA1906482,MGYG000002321_1,1181020,MGYG000001757_42,525,14592,True
SAMEA1906482,MGYG000000346_93,3805,MGYG000000002_8,23429,25972,True
SAMEA1906482,MGYG000000212_1,442428,MGYG000000065_2,48194,87319,False
SAMEA1906484,MGYG000004006_1,93767,MGYG000003941_14,32866,34475,False
SAMEA1906484,MGYG000001313_19,944858,MGYG000001306_87,8903,61278,False
SAMEA1906484,MGYG000000651_104,1717,MGYG000004551_4,91993,92840,False
SAMEA1906485,MGYG000000212_8,191210,MGYG000000065_2,48193,87321,False
SAMEA1906485,MGYG000001380_1,328804,MGYG000003065_42,3653,5307,False
SAMEA1906485,MGYG000003937_109,3346,MGYG000003327_1,21678,72741,False
SAMEA1906485,MGYG000001380_15,28574,MGYG000003065_42,3654,5308,True
SAMEA1906486,MGYG000004006_4,64789,MGYG000004658_56,1466,13029,True
SAMEA1906487,MGYG000000150_23,23671,MGYG000003214_92,1759,2936,True
SAMEA1906487,MGYG000002321_1,1181020,MGYG000001757_42,521,14592,True
SAMEA1906487,MGYG000003681_1,357845,MGYG000002171_23,4783,6091,True
SAMEA1906487,MGYG000002651_3,617,MGYG000000022_1,151600,154406,True
SAMEA1906487,MGYG000003681_2,427808,MGYG000002171_23,4781,6090,True
SAMEA1906489,MGYG000001302.1_2,291741,MGYG000002171_23,4784,6091,True
SAMEA1906489,MGYG000002670_13,88514,MGYG000000282_28,4210,38983,False
SAMEA1906489,MGYG000002478_1,944601,MGYG000000105_5,429788,437259,True
SAMEA1906489,MGYG000000262_22,24368,MGYG000000077_19,78686,79562,True
SAMEA1906490,MGYG000000045_12,32654,MGYG000000655_143,823,2584,True
SAMEA1906490,MGYG000003973_35,9806,MGYG000003979_40,11771,12840,False
SAMEA1906490,MGYG000000262_19,43858,MGYG000000077_19,78685,79569,False
SAMEA1906491,MGYG000000251_1,48154,MGYG000000060_1,450582,499072,True
SAMEA1906493,MGYG000000193_21,8102,MGYG000001386_6,205385,206656,True
SAMEA1906493,MGYG000000212_5,277795,MGYG000000050_56,3906,11839,False
SAMEA1906494,MGYG000004117_5,41671,MGYG000001825_320,110,1461,True
SAMEA1906494,MGYG000002492_1,867667,MGYG000001374_1,830273,858606,True
SAMEA1906495,MGYG000002993_2,88871,MGYG000000370_3,99135,99824,False
SAMEA1906495,MGYG000002607_4,13722,MGYG000001917_63,191,1345,False
SAMEA1906496,MGYG000003192_180,219,MGYG000002478_1,46220,4229658,True
SAMEA1906496,MGYG000000069_1,762184,MGYG000003236_73,14216,14928,False
SAMEA1906497,MGYG000000271_7,98093,MGYG000001379_9,33494,35363,False
SAMEA1906498,MGYG000004319_1,66540,MGYG000003056_224,140,1727,True
SAMEA1906498,MGYG000002210_296,1970,MGYG000003236_76,3445,5019,True
SAMEA1906498,MGYG000004319_5,34264,MGYG000003056_224,150,1729,False
SAMEA1906501,MGYG000004275_34,6300,MGYG000002295_40,3392,4018,True
SAMEA1906503,MGYG000002710_3,172711,MGYG000001132_31,11845,14365,False
SAMEA1906503,MGYG000002478_1,5355435,MGYG000001920_56,10078,10938,False
SAMEA1906503,MGYG000000002_4,131496,MGYG000003192_12,65817,66960,True
SAMEA1906503,MGYG000004105_1,121,MGYG000001920_56,10080,10936,True
SAMEA1906503,MGYG000000262_2,206314,MGYG000000077_19,78686,79569,False
SAMEA1906505,MGYG000000262_22,24365,MGYG000000077_19,78686,79569,True
SAMEA1906505,MGYG000001315_6,41964,MGYG000000687_195,989,2600,True
SAMEA1906505,MGYG000000929_3,60163,MGYG000004449_82,674,1343,True
SAMEA1906510,MGYG000000045_2,293764,MGYG000000655_143,822,2584,False
SAMEA1906510,MGYG000000045_4,60160,MGYG000000655_143,822,2581,False
SAMEA1906512,MGYG000000262_10,93333,MGYG000000077_19,78698,79569,True
SAMEA1906512,MGYG000004317_9,24893,MGYG000000077_19,78685,79561,False
SAMEA1906512,MGYG000000262_15,54294,MGYG000000077_19,78701,79562,True
SAMEA1906512,MGYG000002558_19,7722,MGYG000001042_86,11047,52870,False
SAMEA1906514,MGYG000001302.1_5,1125601,MGYG000001415_2,84969,86539,False
SAMEA1906514,MGYG000000146_8,25458,MGYG000000223_60,538,3614,False
SAMEA1906514,MGYG000002298_18,8349,MGYG000000251_1,218579,221265,True
SAMEA1906516,MGYG000000128_2,443973,MGYG000004469_1,83843,100311,False
SAMEA1906516,MGYG000000208_2,131277,MGYG000001645_69,4630,7297,False
SAMEA1906518,MGYG000003699_5,590,MGYG000000773_2,80000,81788,False
SAMEA1906520,MGYG000000262_22,24366,MGYG000000077_19,78686,79569,True
SAMEA1906520,MGYG000000651_145,1605,MGYG000001632_43,1062,2790,True
SAMEA1906520,MGYG000003656_10,111295,MGYG000004392_12,1226,7929,False
SAMEA1906520,MGYG000002993_5,89095,MGYG000001632_43,1060,2789,False
SAMEA1906522,MGYG000003656_12,152380,MGYG000000185_8,63085,64842,True
SAMEA1906522,MGYG000003656_10,34030,MGYG000000185_8,63088,64843,False
SAMEA1906522,MGYG000003656_19,29757,MGYG000000185_8,63085,64846,False
SAMEA1906522,MGYG000000784_2,68074,MGYG000003832_3,39155,45010,False
SAMEA1906522,MGYG000003656_21,50629,MGYG000000185_8,63089,64843,False
SAMEA1906522,MGYG000003656_10,104531,MGYG000000185_8,63073,64843,True
SAMEA1906523,MGYG000000251_10,63358,MGYG000000202_5,310724,311541,True
SAMEA1906523,MGYG000000253_17,14699,MGYG000001901_60,179,1786,False
SAMEA1906523,MGYG000000262_15,34147,MGYG000000065_2,48196,87319,True
SAMEA1906523,MGYG000000251_2,366134,MGYG000000202_5,310724,311541,False
SAMEA1906523,MGYG000002478_1,1571063,MGYG000003613_79,249,2620,True
SAMEA1906524,MGYG000002478_1,5120670,MGYG000000117_1,350776,381282,True
SAMEA1906524,MGYG000002298_8,582,MGYG000000387_2,52489,54126,True
SAMEA1906524,MGYG000000262_2,206312,MGYG000000077_19,78686,79565,False
SAMEA1906525,MGYG000002651_3,617,MGYG000000022_1,151600,154406,True
SAMEA1906526,MGYG000000251_2,170416,MGYG000000140_1,159172,160830,True
SAMEA1906526,MGYG000000646_1,398563,MGYG000002445_5,4763,6081,True
SAMEA1906528,MGYG000000741_44,2022,MGYG000001632_43,1049,2783,False
SAMEA1906528,MGYG000002104_23,16351,MGYG000002782_29,11706,13100,True
SAMEA1906528,MGYG000000651_3,3884,MGYG000001632_43,1060,2783,False
SAMEA1906528,MGYG000003891_45,11908,MGYG000003214_92,1759,2936,True
SAMEA1906528,MGYG000002993_5,89096,MGYG000001632_43,1061,2789,False
SAMEA1906528,MGYG000002104_5,35267,MGYG000002782_29,11705,13100,True
SAMEA1906528,MGYG000002104_1,251502,MGYG000002782_29,11705,13099,True
SAMEA1906528,MGYG000002104_1,310382,MGYG000002782_29,11705,13100,True
SAMEA1906529,MGYG000002602_3,93266,MGYG000001160_22,4259,6008,False
SAMEA1906529,MGYG000000148_13,35760,MGYG000001380_17,546,2205,False
SAMEA1906529,MGYG000000148_1,281202,MGYG000003715_56,19451,21010,False
SAMEA1906529,MGYG000000148_19,33450,MGYG000003715_56,19459,21010,True
SAMEA1906529,MGYG000004887_2,109512,MGYG000001560_1,1454808,1457278,True
SAMEA1906529,MGYG000000730_3,56644,MGYG000000574_749,765,2042,True
SAMEA1906529,MGYG000002602_7,28152,MGYG000001160_22,4255,6007,False
SAMEA1906529,MGYG000002454_1,70361,MGYG000002584_4,250,1302,True
SAMEA1906529,MGYG000000262_22,24366,MGYG000000077_19,78686,79569,True
SAMEA1906529,MGYG000002478_1,4882728,MGYG000002549_6,820916,901727,True
SAMEA1906529,MGYG000003676_165,1558,MGYG000000251_15,6367,8045,False
SAMEA1906531,MGYG000001338_2,16000,MGYG000004481_60,115,1814,True
SAMEA1906531,MGYG000000941_2,62410,MGYG000000851_5,13489,15073,False
SAMEA1906532,MGYG000002587_49,30686,MGYG000003084_128,573,1931,False
SAMEA1906532,MGYG000000982_16,26342,MGYG000004453_34,1821,2577,True
SAMEA1906532,MGYG000002492_1,2274894,MGYG000000282_28,4212,38983,True
SAMEA1906532,MGYG000000003_2,177351,MGYG000003084_128,575,1930,True
SAMEA1906533,MGYG000000251_6,35853,MGYG000000202_5,310724,311541,True
SAMEA1906533,MGYG000002396_1,1348990,MGYG000002469_1,1740496,1743059,False
SAMEA1906533,MGYG000001711_39,12017,MGYG000003699_20,18337,19944,False
SAMEA1906533,MGYG000002670_21,28681,MGYG000000217_60,340,1720,True
SAMEA1906533,MGYG000003326_21,965,MGYG000001065_25,136670,137546,False
SAMEA1906533,MGYG000002396_1,125875,MGYG000002469_1,1740497,1743059,True
SAMEA1906533,MGYG000002396_1,839826,MGYG000002469_1,1740496,1743060,False
SAMEA1906533,MGYG000000251_1,378568,MGYG000000202_5,310724,311542,False
SAMEA1906534,MGYG000002234_126,1701,MGYG000000773_2,83863,85382,False
SAMEA1906534,MGYG000001711_68,48246,MGYG000000253_16,31795,35750,False
SAMEA1906534,MGYG000003668_15,2764,MGYG000000395_1,318894,321697,False
SAMEA1906534,MGYG000000651_104,1717,MGYG000004551_4,91993,92840,False
SAMEA1906535,MGYG000002720_15,16793,MGYG000002156_4,72097,80022,True
SAMEA1906535,MGYG000000730_24,12756,MGYG000000574_749,765,2042,False
SAMEA1906535,MGYG000000730_5,11283,MGYG000000574_749,759,2044,False
SAMEA1906535,MGYG000000730_2,123957,MGYG000000574_749,765,2043,True
SAMEA1906536,MGYG000000217_44,16756,MGYG000000271_7,90191,91768,True
SAMEA1906536,MGYG000002540_1,21093,MGYG000001313_20,555115,563875,True
SAMEA1906537,MGYG000000605_10,26231,MGYG000004809_75,848,3310,False
SAMEA1906537,MGYG000000208_2,131277,MGYG000001645_69,4630,7298,False
SAMEA1906537,MGYG000000784_2,68083,MGYG000003832_3,39155,45021,False
SAMEA1906538,MGYG000000045_27,3302,MGYG000000655_143,823,2584,True
SAMEA1906539,MGYG000004245_3,64163,MGYG000000574_749,760,2042,True
